3094,84400,1-Remembering,easy,,Which is the BEST definition of “immun...,,No,2,,<p>Which is the BEST definition of “immunity”?</p>,Vaccines can induce immunity.,<p>The state of having been exposed to a pathogen repeatedly</p>,,<p>The state of being resistant to reinfection with a pathogen</p>,,<p>When an individual has never been exposed to a pathogen</p>,,<p>When the immune system is activated</p>,,<p>When physical barriers are not enough to prevent infection</p>,,
3094,84400,2-Understanding,medium,,What happens to a pathogen as it becomes att...,,No,3,,<p>What happens to a pathogen as it becomes attenuated?</p>,Attenuated viruses are used as vaccines.</p><p>,<p>It becomes more dangerous to the host.</p>,,<p>It gets smaller.</p>,,<p>It has weakened virulence.</p>,,<p>It becomes older.</p>,,<p>All of the answers are correct.</p>,,
3094,84400,3-Applying,medium,,Which of the following advances can be credi...,,No,5,,<p>Which of the following advances can be credited to progress made in our understanding of immunology?</p>,Immunology is about more than just infectious diseases.</p><p>,<p>Smallpox eradication</p>,,<p>Treatment of asthma</p>,,<p>Ability to transplant human organs</p>,,<p>Cancer treatment</p>,,<p>All of the answers are correct.</p>,,
3094,84400,3-Applying,medium,,Which of the following is the BEST example o...,,No,1,,<p>Which of the following is the BEST example of herd immunity?</p>,The herd protects the individual.</p><p>,"<p>A child infected with measles travels from Germany to the United States. Several babies contract the disease, but the outbreak is largely contained due to vaccinations.</p>",,<p>Certain populations of cattle are less susceptible to infection with encephalitis because of their genetic makeup.</p>,,"<p>Once a certain threshold of individuals has been infected with a novel human pathogen, it is unlikely that any more will be.</p>",,<p>Geese and chickens are infected with different strains of influenza because they express different receptors on their cell surface.</p>,,"<p>When infection spreads through a population, certain individuals generate stronger immune responses than others.</p>",,
3094,84400,1-Remembering,easy,,Which of the following diseases does NOT cur...,,No,3,,<p>Which of the following diseases does NOT currently have an effective vaccine?</p>,Most vaccines protect almost everyone from infection.</p><p>,<p>Chicken pox</p>,,<p>Polio</p>,,<p>HIV</p>,,<p>Smallpox</p>,,<p>Diptheria</p>,,
3094,84400,3-Applying,medium,,Examine Figure 1-8. Which cells are MOST lik...,,No,5,,"<p>Examine Figure 1-8. Which cells are MOST likely responsible for the intense response to Antigen A following a second exposure?</p><p><img align=""bottom"" border=""0"" height=""303"" name=""Image1"" src=""https://content.macmillan-learning.com/bat-assets/bat62265364a19064.44444737/bat62265364a19064.44444737.png"" width=""396""/> </p>",A secondary immune response is greater in magnitude when compared to a primary response.</p><p>,<p>B cells</p>,,<p>T cells</p>,,<p>Memory T cells</p>,,<p>Memory B cells</p>,,<p>Both memory T cells and memory B cells are responsible.</p>,,
3094,84400,1-Remembering,easy,,Effectors of the humoral immune system are k...,,No,5,,<p>Effectors of the humoral immune system are known as</p>,There is a cellular and a humoral component to the adaptive immune response.</p><p>,<p>antibodies.</p>,,<p>immunoglobulin.</p>,,<p>complement.</p>,,<p>B cells.</p>,,<p>All of the answers are correct.</p>,,
3094,84400,1-Remembering,easy,,Which of the following cell types are lympho...,,No,5,,<p>Which of the following cell types are lymphocytes?</p>,Lymphocytes are involved in adaptive immunity.</p><p>,<p>Macrophages</p>,,<p>Mast cells</p>,,<p>Neutrophils</p>,,<p>Erythrocytes</p>,,<p>T cells</p>,,
3094,84400,1-Remembering,easy,,Which of the following is TRUE about antigen...,,No,3,,<p>Which of the following is TRUE about antigens?</p>,There are many kinds of antigens.</p><p>,<p>They are always derived from pathogens.</p>,,<p>They are always proteins.</p>,,<p>They are recognized by T cells or B cells.</p>,,<p>They must be microbial in origin.</p>,,<p>They usually cause cellular damage.</p>,,
3094,84400,1-Remembering,easy,,Which of the following is a fungal pathogen,,No,4,,<p>Which of the following is a fungal pathogen?</p>,Yeasts are fungi.</p><p>,<p><i>Vibrio cholera</i></p>,,<p><i>Leishmania major</i></p>,,<p><i>Poliovirus</i></p>,,<p><i>Candida albicans</i></p>,,<p><i>Bordetella pertussis</i></p>,,
3094,84400,4-Analyzing,hard,,True or False Overall the human immune sys...,,No,2,,"<p>True or False? Overall, the human immune system views microbes as pathogens.</p>",Consider the concept of the microbiome.</p><p>,<p>True</p>,,<p>False</p>,,,,,,,,
