"Trace the study of immunology from a desire to vaccinate against infectious disease to far-reaching applications in basic research, medicine, and other fields of study.",,Apply
Examine and question prior assumptions related to immunology and categorize features unique to the immune system.,,Create
"Practice and apply some immunology-specific vocabulary, while distinguishing cells, structures, and concepts important to the field of immunology.",,Apply
Recognize the need for balance and regulation of immune processes and evaluate the consequences of dysregulation.,,Evaluate
Begin to integrate concepts from immunity into real-world issues and medical applications.,,Apply
"Describe the types of blood cells that make up the immune system and outline the main events that occur during hematopoiesis, the process that gives rise to immune cells.",,Remember
"Identify the primary, secondary, and tertiary immune organs in vertebrates and describe their function.",,Remember
Recognize and describe the microenvironments where immune cells mature and the immune response develops.,,Understand
Identify several experimental approaches used to understand how blood cells and immune responses develop.,,Remember
Explain how receptor clustering and localized secretion enhance the signaling of small molecules between immune cells.,,Understand
"Offer one example each of an adaptive immune recep-tor, an innate immune receptor, and a cytokine receptor in which one receptor protein chain may be used in combination with more than one partner chain to alter the nature of ligand specificity.",,Create
State where you would expect to find receptors of the adaptive and innate immune systems within the context of the cell and correlate the ligands and receptors of the two types of immune cells with their signaling outcomes.,,Understand
"Draw, and then compare and contrast, the structural features of T- and B-cell receptor complexes, indicating the presence of immunoglobulin domains, coreceptors, and signal transduction mediators.",,Analyze
"Explain the common features of the cell signaling pathways used by innate, adaptive, and cytokine receptors.",,Understand
"Identify and describe the cells, receptors, and molecules of the innate immune system.",,Remember
"Categorize the pattern recognition receptors in terms of their subcellular locations, the types of pathogen components that they bind, and the types of protective responses that they elicit.",,Create
"Describe the effector mechanisms used by the innate immune system, the cells and molecules involved in each mechanism, and the kinds of pathogens destroyed by each mechanism.",,Understand
"Explain the features of the acute inflammatory response, and outline how some, but not all, leukocytes are able to exit the blood at wounded or infected sites.",,Remember
Compare and contrast the elements of trained innate immunity with adaptive immune memory.,,Analyze
Describe the role of the innate immune response in customizing the adaptive immune response to specific classes of pathogens.,,Understand
"Compare and contrast the three major pathways of complement activation with respect to the factors that initiate the pathways, the convertase enzymes that act in those pathways, and the regulatory factors that ensure that activation occurs only on microbial surfaces.",,Analyze
Explain how complement proteins mediate phagocytosis of apoptotic cells and clearance of immune complexes in the contraction phase of an immune response.,,Understand
Describe three different ways in which microbes have evolved to evade the antimicrobial actions of the complement system.,,Understand
Show why patients deficient in the early components of complement suffer an increased risk of autoimmune diseases such as systemic lupus erythematosus.,,Apply
Explain the classification of the components of the complement system into evolutionarily related families.,,Understand
"Sketch the arrangement of the genetic elements (the V, D, and J regions) of the B- and T-cell receptors in the germline DNA and show how that arrangement is altered in mature B and T cells, respectively.",,Understand
"Differentiate between the roles of the RAG1/2 enzyme complex, terminal deoxyribonucleotidyltransferase, and DNA repair complex enzymes in  V(D)J recombination.",,Understand
